超值房源，急售，标准南北通透三居室，满五年一套，有钥匙,3室1厅1卫,118.42平米,南北,高楼层/6层,简装,2007年建,霍营,龙锦苑东五区,距离地铁回龙观东大街1092米 ,单价34454元/m²,408
6号地铁十里堡站，八里庄北里全南向两居，眼镜户型双卧朝南,2室1厅1卫,53.8平米,南,低楼层/6层,精装,1984年建,石佛营,八里庄北里,距离地铁十里堡243米 ,单价57621元/m²,310
西罗园正规三居室出售满五年一套商品房,3室1厅2卫,112.9平米,南北,低楼层/24层,精装,1998年建,西罗园,西罗园三区,距离地铁北京南站954米 ,单价47830元/m²,540
紫竹院公园对面 南北通透 带阁楼 看房方便 公房,2室1厅1卫,58平米,南北,顶层/6层,精装,1988年建,紫竹桥,三虎桥首体宿舍,距离地铁花园桥812米 ,单价81552元/m²,473
豆瓣西区 朝南向一居 低单价低楼层 好房靠谱出售,1室1厅1卫,42.44平米,南,低楼层/6层,精装,1990年建,朝阳门内,仓南胡同12号院,距离地铁朝阳门420米 ,单价131951元/m²,560
出售 紧邻 月坛商圈 金融街 三里河新房二居室,2室1厅1卫,63.6平米,南北,中楼层/14层,简装,1992年建,月坛,月坛南街19号院,距离地铁南礼士路827米 ,单价119497元/m²,760
和平家园1层田字格三居室 采光好 诚心出售,3室1厅1卫,74.78平米,南北,底层/5层,精装,1976年建,和平里,和平街十区,距离地铁和平里北街493米 ,单价85584元/m²,640
安贞西里二区，元大都公园旁，双南向两居，地铁10号线100米,2室1厅1卫,61.2平米,南,底层/16层,精装,1987年建,安贞,安贞西里二区,距离地铁北土城424米 ,单价80065元/m²,490
东南小区院内把边全明户型三居室,3室1厅1卫,82.2平米,南北,中楼层/6层,精装,1982年建,中关村,东南小区,距离地铁知春里223米 ,单价132603元/m²,1090
北苑东路，东二区，精装厅南两居，商品房满五唯一，有钥匙。,2室1厅1卫,112.52平米,南北,高楼层/7层,精装,2001年建,天通苑,天通苑东二区, ,单价37771元/m²,425
